682	667	977	642
704	1008	990	975
1211	667	1487	641
2813	690	3195	673
2089	822	2286	812
780	525	1084.96	500.665
798	636	1118.37	609.827
1211	668	1487.32	642.809
891	1006	1168.43	976.966
704	1007	989.308	973.873
642	1039	936.043	1003.41
638	1040	932.263	1004.48
627	1046	922.107	1010.23
624	1048	919.479	1012.26
664	1049	968.924	1013.21
1853	1054	2096.28	1050.23
1859	1056	2102.37	1051.99
612	1069	907.614	1031.61
648	1070	939.544	1033.71
578	1073	876.202	1035.01
602	1074	897.589	1036.7
601	1076	896.399	1038.64
1800	1076	2036.9	1072.06
1799	1078	2035.84	1074.03
586	1080	883.937	1041.64
578	1082	875.705	1043.61
581	1084	878.474	1045.67
1817	1126	2055.16	1124.04
455	1128	745.435	1085.66
1788	1131	2027.92	1128.84
1883	1137	2124.09	1138.68
1820	1141	2056.31	1139.92
1814	1143	2050	1142.04
1820	1143	2056.25	1142.11
1803	1145	2039.82	1143.99
1811	1145	2047.33	1143.95
1871	1150	2109.54	1151.93
1874	1151	2112.51	1152.88
1847	1152	2081.06	1152.17
1863	1163	2097.88	1165
1332	1164	1571.12	1147.17
1854	1167	2088.11	1168.45
1852	1172	2085.54	1173.72
1850	1176	2083.5	1177.67
1856	1178	2089.11	1180.56
1857	1180	2090.1	1182.68
1866	1180	2100.12	1182.96
1863	1184	2097.17	1186.85
1854	1185	2086.35	1187.6
1843	1186	2075.31	1188.29
1285	1189	1517.97	1171.03
1524	1195	1756.25	1185.49
1840	1201	2072.03	1203.83
1788	1203	2027.17	1203.91
305	1214	582.182	1164.86
1298	1226	1519.94	1210.17
1481	1227	1705.65	1216.92
1483	1227	1707.88	1216.99
1471	1228	1695.59	1217.73
1455	1234	1673.92	1223.98
1858	1244	2073.3	1250.2
1380	1245	1596.01	1232.01
1358	1251	1569.16	1237.88
1158	1253	1373.4	1232.28
1257	1267	1462.66	1250.03
1254	1268	1460.7	1250.96
1627	1282	1834.79	1280.35
1665	1284	1873.19	1283.81
1666	1290	1874.07	1289.94
1570	1309	1770.52	1306.2
1572	1309	1772.36	1306.1
1489	1314	1685.47	1307.82
1474	1318	1668.75	1311.42
1464	1330	1655.49	1323.61
1361	1348	1545.53	1338.29
2009	1366	2211.65	1387.03
2011	1366	2213.55	1387.12
1552	1851	1659.51	1868.96
1551	1856	1658.36	1874
786	494	1108.04	505.769
1332	1164	1571.12	1147.17
1285	1189	1517.97	1171.03
1328	1203	1557.89	1186.15
1298	1226	1519.94	1210.17
1455	1234	1673.92	1223.98
1380	1245	1596.01	1232.01
1358	1251	1569.16	1237.88
1257	1267	1462.66	1250.03
1254	1268	1460.7	1250.96
1570	1309	1770.52	1306.2
1572	1309	1772.36	1306.1
1489	1314	1685.47	1307.82
1474	1318	1668.75	1311.42
1464	1330	1655.49	1323.61
1372	2127	1464.12	2136
1393	2139	1481.82	2149.9
1315	2152	1403.32	2156.38
1190	2225	1268.81	2220.26
1151	2252	1225.07	2244.12
1711	2374	1724.72	2404.36
1741	2394	1745.89	2424.05
